id,title,description,price,sale_price,availability,condition,image_link,link,brand,google_product_category
265,5FT Modern Black Slatted TV Stand,"A sleek and modern 5-foot TV stand crafted with a bold black finish and stylish slatted side panels. Designed with open shelves for consoles, decoders, or décor items, this stand blends premium aesthetics with functional storage. Its sturdy construction and minimalist luxury appeal make it perfect for contemporary living rooms, apartments, and entertainment areas.",28000.00 KES,null,in stock,new,https://res.cloudinary.com/dtz6b2pip/image/upload/v1769005809/20250827_015040_abrr1l.jpg,https://bobbyfurniturekenya.com/product/265,Generic,Living Room - TV Stands
262,6-Seater Deep Comfort Sectional Sofa with Ottoman,"A luxurious deep-seating sectional sofa designed for maximum comfort and modern elegance. This 6-seater features oversized plush cushions, a wide chaise for lounging, and a matching ottoman for added relaxation. Upholstered in premium velvet-touch fabric, this sofa delivers both comfort and style, making it perfect for contemporary living rooms. Strong hardwood framing and high-density foam ensure long-lasting durability and support.",48000.00 KES,null,in stock,new,https://res.cloudinary.com/dtz6b2pip/image/upload/v1769005847/20250827_014746_yrsvkz.jpg,https://bobbyfurniturekenya.com/product/262,Generic,Living Room - Sectional Sofas
266,6-Seater Premium Tufted Sectional Sofa,"A spacious 6-seater tufted sectional designed for ultimate comfort and contemporary elegance. Built with extra-wide seats, deep cushioning, and premium fabric, this sofa delivers exceptional relaxation while adding a luxurious modern touch to your living space. Perfect for family lounges and large living rooms, crafted with a strong hardwood frame and high-density cushions for long-lasting durability.",46500.00 KES,null,in stock,new,https://res.cloudinary.com/dtz6b2pip/image/upload/v1769005797/20250827_015215_v6vc2l.jpg,https://bobbyfurniturekenya.com/product/266,Generic,Living Room - Sectional Sofas
269,U-Shaped Sectional Sofa – Premium Fabric with Spring Cushions,"This is a large U-shaped sectional sofa designed for maximum comfort and family seating. Upholstered in high-quality premium fabric, it features spring-supported seat cushions (not bubble foam), providing excellent durability, firm support, and long-lasting comfort. Ideal for spacious living rooms, lounges, and modern homes.",105000.00 KES,null,in stock,new,https://res.cloudinary.com/dtz6b2pip/image/upload/v1769005744/20250827_015415_zhbb9y.jpg,https://bobbyfurniturekenya.com/product/269,Generic,Living Room - Sectional Sofas
276,ORION Square Coffee Table With Brown Details,"The ORION Square Coffee Table features a bold, clean-lined square design that delivers balance and modern elegance. Built with a solid structure and subtle accent detailing, it is ideal for pairing with sectional and L-shaped sofas, offering both visual impact and everyday functionality.",25500.00 KES,null,in stock,new,https://res.cloudinary.com/dtz6b2pip/image/upload/v1769005536/20250827_033757_ydb0ao.jpg,https://bobbyfurniturekenya.com/product/276,Generic,Living Room - Coffee Tables
73,5by6 Maroon Chester Bed,"Transform your bedroom into a luxurious retreat with the Marron Chester Bed, available exclusively at Bed Palace Kenya. This stunning bed is designed with both style and comfort in mind, featuring a beautifully upholstered headboard embellished with intricate button tufting. The spacious king size provides ample room for couples or individuals who appreciate extra space, while the durable construction ensures long-lasting support and stability. Compatible with a variety of mattress types, the Chester Bed promises an unparalleled sleeping experience. Elevate your bedroom decor and enjoy the perfect blend of elegance and functionality with this exquisite piece of furniture.",36000.00 KES,null,in stock,new,https://res.cloudinary.com/dtz6b2pip/image/upload/v1747960756/20250523_033734_q6jd4o.jpg,https://bobbyfurniturekenya.com/product/73,Generic,Bedroom - Beds
90,5by6 White wooden bed,"The White Wooden Bed (5x6) is a beautifully crafted piece of furniture that combines elegance and comfort. Made from high-quality wood, this bed offers both durability and a timeless design that complements any bedroom decor The spacious queen size ensures ample sleeping space, making it ideal for couples or individuals who enjoy extra room. With its sturdy construction and aesthetically pleasing wooden finish, this bed not only enhances your sleeping experience but also adds a touch of sophistication to your room.",38000.00 KES,null,in stock,new,https://res.cloudinary.com/dtz6b2pip/image/upload/v1748018043/20250523_193253_incc2z.jpg,https://bobbyfurniturekenya.com/product/90,Generic,Bedroom - Beds
247,6-Seater Rectangle Dining Table Set,"This 6-seater hardwood dining table set combines strength, elegance, and everyday comfort. The polished rectangular tabletop showcases a rich natural wood grain, supported by beautifully carved hardwood legs for stability and style. The set includes six cushioned dining chairs featuring solid wooden frames and soft textured upholstery, offering comfortable seating for family meals or guests. Perfect for homes, restaurants, and modern dining spaces, this set delivers durability, beauty, and timeless craftsmanship.",85000.00 KES,null,in stock,new,https://res.cloudinary.com/dtz6b2pip/image/upload/v1768983535/lv_0_20251217144900_rkh5p9.jpg,https://bobbyfurniturekenya.com/product/247,Generic,Dining Room - Six Seater Dining Sets
85,5by6 Light Grey Lines Vela,"Elevate your bedroom with the Light Gray Tufted Queen Bed, a perfect blend of modern style and comfort. This bed features a beautifully tufted headboard that adds a touch of sophistication to your space. The light gray upholstery is not only chic but also versatile, allowing it to complement various decor styles, from contemporary to classic. Constructed with high-quality materials, this queen bed ensures durability and stability for a restful night's sleep. The spacious queen size provides ample room for couples or individuals who enjoy extra space while sleeping
Whether you're redecorating your master bedroom or furnishing a guest room, the Light Gray Tufted Queen Bed is an excellent choice that combines functionality with aesthetic appeal. Create a cozy and inviting atmosphere in your bedroom with this stylish bed",36000.00 KES,null,in stock,new,https://res.cloudinary.com/dtz6b2pip/image/upload/v1747961801/20250523_035446_ve0e9k.jpg,https://bobbyfurniturekenya.com/product/85,Generic,Bedroom - Beds
83,5by6 Throne Bed,"The Throne Bed showcases a unique flower-like shaped headboard, adding a touch of femininity and sophistication to any bedroom. With options for upholstery in luxurious fabrics like velvet, this bed combines comfort with style. Available in a variety of colors, it caters to diverse decor preferences making it an ideal centerpiece for both girls' and ladies' rooms.",40000.00 KES,null,in stock,new,https://res.cloudinary.com/dtz6b2pip/image/upload/v1747968124/20250523_053549_omk3lh.jpg,https://bobbyfurniturekenya.com/product/83,Generic,Bedroom - Beds
254,Mustard Yellow Curved Modern Sofa,"This Mustard Yellow Curved Modern Sofa is designed to stand out with its smooth rounded edges, sculpted silhouette, and luxurious soft fabric. Built for both comfort and style, it features deep cushioning and a contemporary curved shape that fits perfectly in modern living rooms, studios, lounges, or Airbnb spaces. The plush mustard upholstery adds warmth and elegance, while the ergonomic backrest and arm design deliver exceptional comfort for everyday relaxation.

",42000.00 KES,null,in stock,new,https://res.cloudinary.com/dtz6b2pip/image/upload/v1768990278/20260121_104020_hjs2ll.jpg,https://bobbyfurniturekenya.com/product/254,Generic,Living Room - Sofas
243,Black & White Square Coffee Table With Glass,"Our coffee tables are more than just furniture — they’re the centerpiece of your living space. At Bobby Furniture Kenya, we design coffee tables that blend style, function, and durability. Whether you're looking for a sleek modern piece, a rustic wooden charm, or a minimalist glass-top design, we have options to suit every taste and space. Perfect for hosting, displaying décor, or simply relaxing with a cup of coffee, our tables add warmth and elegance to any room. Crafted with quality materials and attention to detail, a Bobby coffee table transforms your living room into a stylish, inviting space.
",22000.00 KES,null,in stock,new,https://res.cloudinary.com/dtz6b2pip/image/upload/v1748041222/20250524_015657_iirzew.jpg,https://bobbyfurniturekenya.com/product/243,Generic,Living Room - Coffee Tables
259,5ft Modern TV Stand with Built-In Electric Fireplace,"Transform your living room with this 5ft Modern TV Stand featuring a built-in electric fireplace. Designed with a clean white matte finish, this unit adds both elegance and warmth to your entertainment space. The fireplace insert produces a realistic glowing ember effect, creating a cozy ambience without smoke or heat. Built with strong hardwood and a smooth finish, the stand supports your TV while adding a luxurious, contemporary touch to your home. Perfect for modern interiors looking for style and functionality in one piece.",38000.00 KES,null,in stock,new,https://res.cloudinary.com/dtz6b2pip/image/upload/v1769005884/20250826_032705_cecbpm.jpg,https://bobbyfurniturekenya.com/product/259,Generic,Living Room - TV Stands
277,LUNA Round Coffee Table,"The LUNA Round Coffee Table features a smooth circular top with a sturdy geometric base, delivering a modern yet timeless look. Its rounded design softens living spaces and pairs perfectly with sectional, L-shaped, and U-shaped sofas.",20000.00 KES,null,in stock,new,https://res.cloudinary.com/dtz6b2pip/image/upload/v1769005521/20250827_033853_ssdmdc.jpg,https://bobbyfurniturekenya.com/product/277,Generic,Living Room - Coffee Tables
111,Double Decker DD001,"The Double Decker (4by6) bed is a practical and stylish solution for maximizing sleeping space in your home Designed to accommodate two individuals comfortably, this bunk bed is perfect for children's rooms, guest accommodations, or shared living spaces. Its sturdy construction ensures safety and durability, while the classic design complements various interior styles. Whether you need extra sleeping arrangements for guests or a fun sleeping solution for kids, the double decker bed provides both functionality and comfort",35000.00 KES,null,in stock,new,https://res.cloudinary.com/dtz6b2pip/image/upload/v1743526332/1743526181795_qlr9fw.png,https://bobbyfurniturekenya.com/product/111,Generic,Kids Room - Double Deckers
112,Double Decker DD002,"
The Double Decker (4x6) bed is a practical and stylish solution for maximizing sleeping space in your home Designed to accommodate two individuals comfortably, this bunk bed is perfect for children's rooms, guest accommodations, or shared living spaces. Its sturdy construction ensures safety and durability, while the classic design complements various interior styles. Whether you need extra sleeping arrangements for guests or a fun sleeping solution for kids, the double decker bed provides both functionality and comfort",38000.00 KES,null,in stock,new,https://res.cloudinary.com/dtz6b2pip/image/upload/v1743527273/1743527227911_amzfxu.png,https://bobbyfurniturekenya.com/product/112,Generic,Kids Room - Double Deckers
113,"Double Decker Single sized(4by6) With Storage ","
The Double Decker Single Sized (4x6) Bed with Storage is the perfect solution for maximizing space without compromising on style or functionality. This innovative design features two single-sized beds stacked vertically making it an excellent choice for shared rooms or smaller spaces. The integrated storage options, such as drawers or shelves, provide additional space for toys, clothes, or bedding, keeping rooms organized and clutter free. Crafted from durable materials, this bed ensures a safe and comfortable sleeping environment for kids and guests alike",50000.00 KES,null,in stock,new,https://res.cloudinary.com/dtz6b2pip/image/upload/v1743529025/1743528976472_brnn1d.png,https://bobbyfurniturekenya.com/product/113,Generic,Kids Room - Double Deckers
99,TV Stand T003,"The TV Stand is designed to be both functional and stylish, providing enough space for your decor and sound system. With a spacious surface area, it accommodates televisions and additional media devices while allowing you to showcase your favorite decorative items, plants, or books.

One of the standout features of this TV stand is its customizable color options, enabling you to select a finish that perfectly complements your home decor. Whether you prefer a sleek black, a warm wood tone, or a bright pop of color, this stand can be tailored to match your aesthetic.

Crafted from high-quality materials, the TV Stand ensures durability and stability, making it a reliable choice for your entertainment needs. Its design not only enhances your viewing experience but also serves as a stylish focal point in your living room.

Whether you're hosting a movie night or enjoying a quiet evening, the TV Stand is the perfect addition to create a cozy and inviting atmosphere in your home.",28000.00 KES,null,in stock,new,https://res.cloudinary.com/dtz6b2pip/image/upload/v1743286744/1743286602353_faedto.png,https://bobbyfurniturekenya.com/product/99,Generic,Living Room - TV Stands
100,TV Stand T004," It accommodates televisions and additional media devices while allowing you to showcase your favorite decorative items, plants, or books.
One of the standout features of this TV stand is its customizable color options, enabling you to select a finish that perfectly complements your home decor. Whether you prefer a sleek black, a warm wood tone, or a bright pop of color, this stand can be tailored to match your aesthetic.
Crafted from high-quality materials, the TV Stand ensures durability and stability, making it a reliable choice for your entertainment needs. Its design not only enhances your viewing experience but also serves as a stylish focal point in your living room.
Whether you're hosting a movie night or enjoying a quiet evening, the TV Stand is the perfect addition to create a cozy and inviting atmosphere in your home.",28500.00 KES,null,in stock,new,https://res.cloudinary.com/dtz6b2pip/image/upload/v1743286745/1743286541128_aq2joz.png,https://bobbyfurniturekenya.com/product/100,Generic,Living Room - TV Stands
101,TV Stand T005,"The TV Stand is designed to be both functional and stylish, providing enough space for your decor and sound system. With a spacious surface area, it accommodates televisions and additional media devices while allowing you to showcase your favorite decorative items, plants, or books.
One of the standout features of this TV stand is its customizable color options, enabling you to select a finish that perfectly complements your home decor. Whether you prefer a sleek black, a warm wood tone, or a bright pop of color, this stand can be tailored to match your aesthetic.
Crafted from high-quality materials, the TV Stand ensures durability and stability, making it a reliable choice for your entertainment needs. Its design not only enhances your viewing experience but also serves as a stylish focal point in your living room.
Whether you're hosting a movie night or enjoying a quiet evening, the TV Stand is the perfect addition to create a cozy and inviting atmosphere in your home.",29000.00 KES,null,in stock,new,https://res.cloudinary.com/dtz6b2pip/image/upload/v1743287725/1743287639175_mgpw3t.png,https://bobbyfurniturekenya.com/product/101,Generic,Living Room - TV Stands
118,Shoe Tree Tower Rack(Rotating),"
Shoe rack for the whole family, Clean your shoes and make your home a more tidy home without discarded shoes at home, The large-capacity shoe rack, put on any pair of your favorite shoes, Give them a small house, Enough to reflect your full love for any pair of shoes.. With a 360-degree rotating design, you can fit up to 24 pairs of shoes or bags in a compact space, No more messy and cluttered closets.. he sleek and modern design of our shoe cabinet will complement any home decor, adding a touch",35000.00 KES,null,in stock,new,https://res.cloudinary.com/dtz6b2pip/image/upload/v1743536403/1743536226150_n9k7jv.png,https://bobbyfurniturekenya.com/product/118,Generic,Storage - Shoe Racks
119,Shoe Rack SH001,"The Shoe Rack with Drawers and Top Platform is an innovative storage solution designed to keep your organized while adding a touch of elegance to your space. This shoe rack features multiple drawers at the bottom, providing convenient storage for accessories, shoe care products, or other small items, ensuring that everything you need is within reach.
The top platform of the shoe rack serves as a perfect spot for placing bags, decorative items, or even a small plant, making it a multifunctional piece that enhances your entryway or closet. Its sleek design allows it to blend seamlessly with various decor styles, from modern to traditional
Constructed from durable materials, this shoe rack is built to withstand daily use while keeping your shoes neatly arranged. The open design promotes airflow, helping to keep your shoes fresh and in good condition. With enough space to accommodate a variety of shoe types, this rack is perfect for families or anyone with a growing shoe collection.
Whether you're looking to declutter your entryway or simply need a stylish way to store your shoes, the Shoe Rack with Drawers and Top Platform is the ideal choice for combining practicality with aesthetic appeal.",22000.00 KES,null,in stock,new,https://res.cloudinary.com/dtz6b2pip/image/upload/v1743536406/1743536291211_ejptgu.png,https://bobbyfurniturekenya.com/product/119,Generic,Storage - Shoe Racks
102,3.5 by 6 Velvet Panel Bed,"This 3.5 by 6 velvet panel bed features a modern high-back headboard with a vertical channel design that gives it a luxurious and contemporary finish. Upholstered in soft velvet fabric, it offers comfort, durability, and a stylish look ideal for single rooms, guest rooms, hostels, and studio spaces. The strong wooden frame and thick padding provide long-lasting support, while the contrasting center detail adds a unique decorative touch. A perfect choice for anyone seeking a compact bed with premium design.",25000.00 KES,null,in stock,new,https://res.cloudinary.com/dtz6b2pip/image/upload/v1768915820/20250415_165551_irbfzg.jpg,https://bobbyfurniturekenya.com/product/102,Generic,Kids Room - Kids Beds
120,Shoe Rack 3*4,"The 3x4 Shoe Rack is a practical and stylish addition to any entryway or closet, designed to keep your shoes neatly stored and easily accessible. With its thoughtful design, this shoe rack provides ample space for your footwear collection, accommodating various shoe types from casual sneakers to elegant heels.
Customizable in both color and size, the 3x4 Shoe Rack allows you to tailor it to your specific needs and aesthetic preferences. Whether you prefer a sleek modern look or a more rustic charm, this shoe rack can be tailored to match your home decor effortlessly.
The open design of the shoe rack promotes airflow, helping to keep your shoes fresh and in good condition. Its sturdy construction ensures durability, making it a reliable storage solution for busy households.
Whether you're organizing your shoe collection or looking for a stylish way to declutter your space, the 3x4 Shoe Rack is the perfect blend of functionality and style. Its versatile design makes it suitable for various spaces, from small apartments to larger homes.",27500.00 KES,null,in stock,new,https://res.cloudinary.com/dtz6b2pip/image/upload/v1743536409/1743536262503_pqov2s.png,https://bobbyfurniturekenya.com/product/120,Generic,Storage - Shoe Racks
121,Shoe Rack Pair - 3*6 Feet Each to Make 6*6 Feet,"Introducing the Shoe Rack Pair, a versatile storage option designed for those who need ample space for their shoe collection Each unit measures 3x5 fest, allowing you to easily combine both pieces to create a generous 65 feet shoe rack. This configuration is ideal for families, shoe enthusiasts, or anyone with a growing footwear
collection
The modular design of this shoe rack pair allows you to customize your storage solution based on your space and needs. Whether you choose to use the two pieces together or separately, you'll enjoy the flexibility of organizing your shoes in a way that works best for you
Constructed from high-quality materials, these shoe racks are built to last and can withstand daily use. The open design promotes airflow, helping to keep your shoes fresh and in good condition Additionally, the stylish appearance of the racks ensures they will enhance the decor of any entryway, closet, or bedroom
With options available for colors and finishes, you can select the perfect look to complement your home. The Shoe Rack Pair is not just a practical solution; it's an elegant addition to your home organization",40000.00 KES,null,in stock,new,https://res.cloudinary.com/dtz6b2pip/image/upload/v1743537567/1743537514672_mkt3wc.png,https://bobbyfurniturekenya.com/product/121,Generic,Storage - Shoe Racks
133,7-Seater Premium Semi-Recliner Sofa Set,"This 7-seater premium semi-recliner sofa set offers exceptional comfort and a luxurious cinema-style seating experience. Designed with thick cushioning, wide armrests, and ergonomic back support, it delivers relaxation for the whole family. The semi-recliner mechanism provides added comfort without needing full wall clearance, making it ideal for living rooms, TV rooms, lounges, and home entertainment spaces. Upholstered in high-quality leatherette with a smooth finish, this set combines durability, style, and long-lasting performance.",110000.00 KES,null,in stock,new,https://res.cloudinary.com/dtz6b2pip/image/upload/v1768924410/20251204_110440_rvm7jm.jpg,https://bobbyfurniturekenya.com/product/133,Generic,Living Room - Semi Recliners
290,Sunray Gold Console Table with Mirror,,45000.00 KES,null,in stock,new,https://res.cloudinary.com/dtz6b2pip/image/upload/v1769092106/IMG_20260122_142608_973_df418c.jpg,https://bobbyfurniturekenya.com/product/290,Generic,Living Room - Console Tables
103,Diamond-Stitched Velvet Panel Bed,"This diamond-stitched velvet panel bed features a elegant curved headboard with luxurious vertical and diamond patterns that create a premium, modern look. Upholstered in soft beige velvet, it offers a warm, classy aesthetic that blends perfectly with contemporary bedrooms. The sturdy wooden frame and thick cushioned panels provide both comfort and durability, making it ideal for everyday use. A stylish, high-end centerpiece for any bedroom.",35000.00 KES,null,in stock,new,https://res.cloudinary.com/dtz6b2pip/image/upload/v1768916701/20250417_174011_zcmmsb.jpg,https://bobbyfurniturekenya.com/product/103,Generic,Bedroom - Beds
129,Chinese Laterite Ceramic Vase,Chinese Ceramic Vase Half -Glazed Round Modison Laterite Ceramic Vase,3550.00 KES,null,out of stock,new,https://res.cloudinary.com/dtz6b2pip/image/upload/v1743542428/1743542314466_aitbcy.png,https://bobbyfurniturekenya.com/product/129,Generic,Decor
130,Snuggle Hollow Ceramic Vase,"Snuggle Hollow Ceramic Vase Set Of 2 Nordic Modern Boh Ins Style Decorative Ceramic Aesthetic Flower Vase
4 Decorative vases for homes and hotels

4H-21cm big,
 H-17cm small",4500.00 KES,null,in stock,new,https://res.cloudinary.com/dtz6b2pip/image/upload/v1743542985/1743542780161_c4gzd9.png,https://bobbyfurniturekenya.com/product/130,Generic,Decor
131,"Donut Ceramic Vase ","Ceramic Donut Vase, 12 Inch Flower Vase for Home Decor, Round Matte Textured Vase in Black and White for Flowers, Ribbed Vase for Centerpiece, Bedroom, entryway, Living Room

Available in black and white",4500.00 KES,null,in stock,new,https://res.cloudinary.com/dtz6b2pip/image/upload/v1743542982/1743542865901_mtn278.png,https://bobbyfurniturekenya.com/product/131,Generic,Decor
132,Statue Yoga Character Decor,"Unbreakable Big Size Home Decoration Statue Yoga Character 

Available in Black & White",4800.00 KES,null,in stock,new,https://res.cloudinary.com/dtz6b2pip/image/upload/v1743543718/1743543616332_gxzpao.png,https://bobbyfurniturekenya.com/product/132,Generic,Decor
248,8 Inch Heavy Duty Foam Mattress(4*6),"he Morning Glory High-Density Mattress is designed for superior back support, durability, and long-lasting comfort. Built with firm high-density foam, it maintains proper spinal alignment while reducing pressure points, making it ideal for both adults and children. The patterned outer fabric is strong, breathable, and resistant to wear, ensuring the mattress stays fresh and supportive for years. Perfect for all bed sizes, this mattress is a reliable choice for anyone seeking quality sleep and improved comfort.",15000.00 KES,null,in stock,new,https://res.cloudinary.com/dtz6b2pip/image/upload/v1768984004/maisha_mattress-20260121-0003_xxwxxt.webp,https://bobbyfurniturekenya.com/product/248,Generic,Mattresses - Foam Mattresses
255,White Premium Dressing Table With Shelves & Stool,"This White Premium Dressing Table is designed for maximum storage, elegance, and convenience. It features a large central mirror, multiple drawers for organized storage, and open side shelves ideal for perfumes, skincare, and accessories. The spacious tabletop offers plenty of room for daily beauty routines, while the padded stool provides comfortable seating. Made from strong hardwood and finished in a smooth white paint, this dressing table brings a clean, modern, and luxurious touch to any bedroom.",38000.00 KES,null,in stock,new,https://res.cloudinary.com/dtz6b2pip/image/upload/v1768990673/20260121_102211_hi6xbd.jpg,https://bobbyfurniturekenya.com/product/255,Generic,Bedroom - Dressers
257,3-Piece Hardwood Nesting Coffee Table Set,"This 3-Piece Hardwood Nesting Coffee Table Set offers style, practicality, and timeless craftsmanship. Designed with a polished hardwood finish, each table features elegant tapered legs and a smooth glossy surface that enhances the natural wood grain. The three tables fit neatly under one another, saving space while giving you extra surfaces whenever needed. Perfect for living rooms, lounges, offices, or hotel spaces, this set combines beauty, durability, and convenience in one premium package.",38000.00 KES,null,in stock,new,https://res.cloudinary.com/dtz6b2pip/image/upload/v1769005935/20250823_093218_di9q3a.jpg,https://bobbyfurniturekenya.com/product/257,Generic,Living Room - Coffee Tables
192,"7 Seater Charcoal Grey Semi Recliner ","A seven-seater recliner is a spacious and luxurious seating arrangement designed for maximum comfort and functionality. It typically includes:

Three recliner seats (manual or electric) that allow users to lean back and elevate their feet.

Upholstery made of plush fabric, faux leather, or genuine leather for a soft and stylish finish.

Ample seating space for seven people, arranged in an L-shape or U-shape to suit living room layouts.

Padded armrests and backrests for enhanced comfort.
",100000.00 KES,null,in stock,new,https://res.cloudinary.com/dtz6b2pip/image/upload/v1748023494/20250523_210323_rjf2nk.jpg,https://bobbyfurniturekenya.com/product/192,Generic,Living Room - Semi Recliners
187,5 Seater Grey Semi Recliner,"A Five-seater recliner is a spacious and luxurious seating arrangement designed for maximum comfort and functionality. It typically includes:

Three recliner seats (manual or electric) that allow users to lean back and elevate their feet.

Upholstery made of plush fabric, faux leather, or genuine leather for a soft and stylish finish.

Ample seating space for seven people, arranged in an L-shape or U-shape to suit living room layouts.

Padded armrests and backrests for enhanced comfort.
",65000.00 KES,null,in stock,new,https://res.cloudinary.com/dtz6b2pip/image/upload/v1748021521/20250523_203141_frlun9.jpg,https://bobbyfurniturekenya.com/product/187,Generic,Living Room - Semi Recliners
