"Name","Category","Price","Stock","Description"
"4by6 Jungle Green Lines Vela","Bedroom - Beds","28000.00","9","Elevate your bedroom with the Jungle Green Tufted Bed, a perfect blend of modern style and comfort. This bed features a beautifully tufted headboard that adds a touch of sophistication to your space. The light gray upholstery is not only chic but also versatile, allowing it to complement various decor styles, from contemporary to classic. Constructed with high-quality materials, this queen bed ensures durability and stability for a restful night's sleep. The spacious queen size provides ample room for couples or individuals who enjoy extra space while sleeping
Whether you're redecorating your master bedroom or furnishing a guest room, the Light Gray Tufted Queen Bed is an excellent choice that combines functionality with aesthetic appeal. Create a cozy and inviting atmosphere in your bedroom with this stylish bed"
"4by6 Light Green Tufted Bed ","Bedroom - Beds","28000.00","9","Bring luxury and elegance into your bedroom with our Light Green Tufted Velvet Bed Frame. This eye-catching piece features a high, wingback-style headboard and a low footboard, both deeply tufted for a plush and regal look. Upholstered in rich royal blue velvet, the bed frame adds a bold statement while offering soft, cushioned comfort.
Key Features:

Material: Premium velvet fabric upholstery

Color: Royal Blue

Design: Wingback headboard with deep square tufting

Construction: Solid wood base and frame for durability

Size: Standard 5x6 or 6x6 (custom sizes available upon request)

Ideal for: Modern, contemporary, and luxury bedroom settings
"
"4by6 Light Orange Tufted Bed ","Bedroom - Beds","28000.00","9","Bring luxury and elegance into your bedroom with our Light Orange Tufted Velvet Bed Frame. This eye-catching piece features a high, wingback-style headboard and a low footboard, both deeply tufted for a plush and regal look. Upholstered in rich royal blue velvet, the bed frame adds a bold statement while offering soft, cushioned comfort.
Key Features:

Material: Premium velvet fabric upholstery

Color: Royal Blue

Design: Wingback headboard with deep square tufting

Construction: Solid wood base and frame for durability

Size: Standard 5x6 or 6x6 (custom sizes available upon request)

Ideal for: Modern, contemporary, and luxury bedroom settings
"
"5 feet Storage Ottoman","Bedroom - Ottomans","17000.00","30","The 5 Feet Storage Ottoman is a versatile and functional piece that combines style with practicality. Measuring a generous 5 feet in length, this ottoman is perfect for use as a footrest, extra seating, or even as a coffee table alternative. Its spacious design makes it ideal for larger living areas or bedrooms.
Crafted with a sturdy frame, this ottoman features a lift-top lid that opens to reveal a vast storage compartment, perfect for stowing away blankets, toys, books, or other items you want to keep out of sight. The interior storage helps maintain a tidy environment while providing easy access to your belongings.
The ottoman is upholstered in high-quality fabric, available in various colors and textures to suit your decor style Its button tufting adds a touch of elegance, making it a chic addition to any room. The padded top ensures comfort, whether you're resting your feet or using it as additional seating for guests.
With its combination of functionality and aesthetic appeal, the 5 Feet Storage Ottoman is an excellent choice for anyone looking to enhance their home with a stylish storage solution"
"5 feet Tv Stand T001","Living Room - TV Stands","25000.00","9","The Tv Stand is designed to be both functional and stylish ponding enough space for your door and sound
you to showcase your decorative plants, or books
One of the standout features of this stand table color options enabling you to select a fish that perfectly complements your home decor Whether you prefer a sleek back a warm wood tone or a bright pop of color this stand can be tailored to match your aesthetic
Crafted from high-quality materials, the TV Stand ensures durability and stability making entemente
in your wing mom
areable choice for you
design not only enhances your viewing experience but also serves as a stylish focal po
Whether you're hosting a movie night or enjoying
cozy and miting atmosphere in your home
evening the TV Stand is the perfect addition to create a"
"5 Seater Dark Blue Chester Sofa","Living Room - Couches in set","62000.00","20","A 5-seater 3+2 coach is a spacious and stylish piece of furniture designed to comfortably accommodate multiple people. It typically features two separate sections—one larger and one slightly smaller—creating a balanced layout that enhances both comfort and aesthetics. Upholstered in quality fabric or leather, it often comes with plush backrests, supportive armrests, and a sturdy frame. Ideal for living rooms, it blends functionality with design, making it a centerpiece for relaxation, conversation, or entertainment."
"5 Seater Grey Semi Recliner","Living Room - Semi Recliners","72000.00","9","A Five-seater recliner is a spacious and luxurious seating arrangement designed for maximum comfort and functionality. It typically includes:

Three recliner seats (manual or electric) that allow users to lean back and elevate their feet.

Upholstery made of plush fabric, faux leather, or genuine leather for a soft and stylish finish.

Ample seating space for seven people, arranged in an L-shape or U-shape to suit living room layouts.

Padded armrests and backrests for enhanced comfort.
"
"5 Seater Light Grey Semi Recliner ","Living Room - Semi Recliners","72000.00","9","A  Five seater recliner is a spacious and luxurious seating arrangement designed for maximum comfort and functionality. It typically includes:

Three recliner seats (manual or electric) that allow users to lean back and elevate their feet.

Upholstery made of plush fabric, faux leather, or genuine leather for a soft and stylish finish.

Ample seating space for seven people, arranged in an L-shape or U-shape to suit living room layouts.

Padded armrests and backrests for enhanced comfort.
"
"5by6 Black Chester Bed","Bedroom - Beds","36000.00","9","Transform your bedroom into a luxurious retreat with the Marron Chester Bed, available exclusively at Bed Palace Kenya. This stunning bed is designed with both style and comfort in mind, featuring a beautifully upholstered headboard embellished with intricate button tufting. The spacious king size provides ample room for couples or individuals who appreciate extra space, while the durable construction ensures long-lasting support and stability. Compatible with a variety of mattress types, the Chester Bed promises an unparalleled sleeping experience. Elevate your bedroom decor and enjoy the perfect blend of elegance and functionality with this exquisite piece of furniture."
"5by6 Bubble Bed White","Bedroom - Beds","48000.00","9","Introduce playful elegance and unmatched comfort into your bedroom with our signature Bubble Bed. Designed with a bold, modern aesthetic, the Bubble Bed features a uniquely tufted headboard and footboard with rounded, "bubble-like" curves that add a soft, inviting touch to any space.

Upholstered in premium fabric or velvet of your choice, this bed is a statement piece that balances artistic design with cozy functionality. Its solid wooden frame provides reliable support, while the plush cushioning ensures every moment spent lounging or sleeping feels luxurious.

Key Features:

Distinctive bubble-tufted design for a trendy, standout look

Soft, high-quality velvet or fabric upholstery

Durable hardwood frame for long-lasting performance

Available in multiple colors and sizes

Perfect for modern, chic, or glam bedroom themes
"
"5by6 Bubble Bed White ","Bedroom - Beds","48000.00","9","Introduce playful elegance and unmatched comfort into your bedroom with our signature Bubble Bed. Designed with a bold, modern aesthetic, the Bubble Bed features a uniquely tufted headboard and footboard with rounded, "bubble-like" curves that add a soft, inviting touch to any space.

Upholstered in premium fabric or velvet of your choice, this bed is a statement piece that balances artistic design with cozy functionality. Its solid wooden frame provides reliable support, while the plush cushioning ensures every moment spent lounging or sleeping feels luxurious.

Key Features:

Distinctive bubble-tufted design for a trendy, standout look

Soft, high-quality velvet or fabric upholstery

Durable hardwood frame for long-lasting performance

Available in multiple colors and sizes

Perfect for modern, chic, or glam bedroom themes
"
"5by6 Classic Chester Bed","Bedroom - Beds","38000.00","9","Add a touch of luxury and elegance to your bedroom with this stunning velvet upholstered bed. Featuring a bold royal blue finish, the bed is designed with a tall, vertically channeled headboard and a matching footboard for a cohesive and modern look. The plush fabric not only offers comfort but also elevates the room’s aesthetic. Perfect for both contemporary and classic interiors, this bed frame combines style and durability, built on a solid wooden structure for long-lasting support."
"5by6 Classic Chester Bed ","Bedroom - Beds","38000.00","9","Add a touch of luxury and elegance to your bedroom with this stunning velvet upholstered bed. Featuring a bold royal blue finish, the bed is designed with a tall, vertically channeled headboard and a matching footboard for a cohesive and modern look. The plush fabric not only offers comfort but also elevates the room’s aesthetic. Perfect for both contemporary and classic interiors, this bed frame combines style and durability, built on a solid wooden structure for long-lasting support."
"5by6 Cream White Tufted Bed","Bedroom - Beds","36000.00","9","Bring luxury and elegance into your bedroom with our Cream White Tufted Velvet Bed Frame. This eye-catching piece features a high, wingback-style headboard and a low footboard, both deeply tufted for a plush and regal look. Upholstered in rich royal blue velvet, the bed frame adds a bold statement while offering soft, cushioned comfort.

Key Features:

Material: Premium velvet fabric upholstery

Color: Royal Blue

Design: Wingback headboard with deep square tufting

Construction: Solid wood base and frame for durability

Size: Standard 5x6 or 6x6 (custom sizes available upon request)

Ideal for: Modern, contemporary, and luxury bedroom settings
"
"5by6 Dark Grey Tufted Bed","Bedroom - Beds","36000.00","9","Bring luxury and elegance into your bedroom with our  Tufted Velvet Bed Frame. This eye-catching piece features a high, wingback-style headboard and a low footboard, both deeply tufted for a plush and regal look. Upholstered in rich royal blue velvet, the bed frame adds a bold statement while offering soft, cushioned comfort.

Key Features:

Material: Premium velvet fabric upholstery

Color: Royal Blue

Design: Wingback headboard with deep square tufting

Construction: Solid wood base and frame for durability

Size: Standard 5x6 or 6x6 (custom sizes available upon request)

Ideal for: Modern, contemporary, and luxury bedroom settings
"
"5by6 Grey Mirror Bed","Bedroom - Beds","55000.00","9","Upgrade your sleeping space with our exclusive range of upholstered beds, where comfort meets modern elegance. This collection features beautifully crafted pieces, including deep royal blue velvet beds for a bold, luxurious look and soft beige options accented with gold finishes for a touch of class.

Each bed is designed with attention to detail—high, padded headboards offer excellent back support and add a dramatic focal point to your room, while the sturdy wooden bases ensure lasting strength and stability. Whether you're drawn to minimalist lines or rich textures, there's a design to match your unique taste.

Features:

Eye-catching upholstery in rich velvet and smooth leatherette

Stylish headboard designs: vertical panels, gold accents, and soft curves

Strong hardwood frames for long-term durability

Suitable for all bedroom themes: modern, contemporary, or classic

Custom sizing and color options available
"
"5by6 Light Grey Lines Vela","Bedroom - Beds","36000.00","9","Elevate your bedroom with the Light Gray Tufted Queen Bed, a perfect blend of modern style and comfort. This bed features a beautifully tufted headboard that adds a touch of sophistication to your space. The light gray upholstery is not only chic but also versatile, allowing it to complement various decor styles, from contemporary to classic. Constructed with high-quality materials, this queen bed ensures durability and stability for a restful night's sleep. The spacious queen size provides ample room for couples or individuals who enjoy extra space while sleeping
Whether you're redecorating your master bedroom or furnishing a guest room, the Light Gray Tufted Queen Bed is an excellent choice that combines functionality with aesthetic appeal. Create a cozy and inviting atmosphere in your bedroom with this stylish bed"
"5by6 Maroon Chester Bed","Bedroom - Beds","36000.00","9","Transform your bedroom into a luxurious retreat with the Marron Chester Bed, available exclusively at Bed Palace Kenya. This stunning bed is designed with both style and comfort in mind, featuring a beautifully upholstered headboard embellished with intricate button tufting. The spacious king size provides ample room for couples or individuals who appreciate extra space, while the durable construction ensures long-lasting support and stability. Compatible with a variety of mattress types, the Chester Bed promises an unparalleled sleeping experience. Elevate your bedroom decor and enjoy the perfect blend of elegance and functionality with this exquisite piece of furniture."
"5by6 Nevy Blue Chester Bed","Bedroom - Beds","36000.00","9","Add a touch of luxury and elegance to your bedroom with this stunning velvet upholstered bed. Featuring a bold royal blue finish, the bed is designed with a tall, vertically channeled headboard and a matching footboard for a cohesive and modern look. The plush fabric not only offers comfort but also elevates the room’s aesthetic. Perfect for both contemporary and classic interiors, this bed frame combines style and durability, built on a solid wooden structure for long-lasting support."
"5by6 Nior Diamond Bed without lights","Bedroom - Headboards","55000.00","100","Elevate your bedroom with the unmatched elegance of the Nior Diamond Bed — where bold design meets timeless luxury. Crafted with precision, this bed features a stunning diamond-tufted headboard and footboard, accented with subtle gold trims that add a rich, modern flair. The geometric layout and plush upholstery not only enhance visual appeal but also provide supreme comfort and support.

Whether you're redesigning your master suite or furnishing a luxury space, the Luxe Diamond Panel Bed is the perfect centerpiece to make a bold, stylish statement.

Features:

Elegant diamond-tufted upholstery with gold accenting

High, padded headboard for added presence and comfort

Sturdy, durable frame construction

Perfect for contemporary and luxury interiors
"
"5by6 Pink Chester Bed ","Bedroom - Beds","36000.00","9","Transform your bedroom into a haven of style and sophistication with our premium upholstered bed collection. Featuring a stunning blend of bold colors, elegant curves, and fine craftsmanship, each bed is designed to make a statement while offering unmatched comfort. Choose from rich velvet finishes like deep royal blue for a regal touch, or go for the clean, modern appeal of cream tones with gold accents.

These beds are crafted with high-quality wood frames and padded with durable, soft upholstery that adds both structure and style. From sleek vertical tufting to gracefully arched headboards, every design element is thoughtfully chosen to suit both contemporary and classic spaces."
"5by6 Royal Blue Tufted Bed","Bedroom - Beds","36000.00","9","Bring luxury and elegance into your bedroom with our Royal Blue Tufted Velvet Bed Frame. This eye-catching piece features a high, wingback-style headboard and a low footboard, both deeply tufted for a plush and regal look. Upholstered in rich royal blue velvet, the bed frame adds a bold statement while offering soft, cushioned comfort.
Key Features:

Material: Premium velvet fabric upholstery

Color: Royal Blue

Design: Wingback headboard with deep square tufting

Construction: Solid wood base and frame for durability

Size: Standard 5x6 or 6x6 (custom sizes available upon request)

Ideal for: Modern, contemporary, and luxury bedroom settings
"
"5by6 Savoy Button Charcoal Grey Bed","Bedroom - Beds","38000.00","9","Upgrade your bedroom with this elegant Savoy Button  bed, designed for both comfort and sophistication. Crafted with a high headboard and a low-profile footboard, this bed features deep diamond-tufted detailing and a plush velvet finish that exudes luxury. The sturdy wooden frame ensures durability, while the chic silver stud accents add a modern touch.

Key Features:

Size: King

Material: High-quality velvet fabric

Color: Charcoal grey

Design: Deep button tufting with silver nailhead trim

Frame: Durable wood construction for long-lasting support

Perfect for modern and classic interiors, this bed is a stylish centerpiece that transforms any bedroom into a luxurious retreat."
"5by6 Throne Bed","Bedroom - Beds","40000.00","9","The Throne Bed showcases a unique flower-like shaped headboard, adding a touch of femininity and sophistication to any bedroom. With options for upholstery in luxurious fabrics like velvet, this bed combines comfort with style. Available in a variety of colors, it caters to diverse decor preferences making it an ideal centerpiece for both girls' and ladies' rooms."
"5by6 Victoria Lux Tufted Dark Grey Bed","Bedroom - Beds","60000.00","9","Transform your bedroom into a luxurious retreat with the Victoria Lux Tufted Queen Bed. This exquisite bed features a fully tufted headboard, footboard, and side panels, creating a bold and sophisticated statement. The plush light beige upholstery enhances its elegant appeal while providing a soft, inviting touch.
Crafted with high-quality materials, this queen bed offers both durability and comfort. The spacious design ensures a perfect sleeping experience, while the tufted detailing adds a layer of luxury that elevates any decor style. Whether placed in a classic or contemporary setting, the Victoria Lux Tufted Queen Bed is designed to be the centerpiece of your bedroom
Perfect for individuals or couples, this bed combines style, comfort, and functionality, making it an ideal choice for creating a cozy and elegant space."
"5by6 White Queen Bed With Golden Detailing","Bedroom - Headboards","55000.00","900","Upgrade your sleeping space with our exclusive range of upholstered beds, where comfort meets modern elegance. This collection features beautifully crafted pieces, including deep royal blue velvet beds for a bold, luxurious look and soft beige options accented with gold finishes for a touch of class.

Each bed is designed with attention to detail—high, padded headboards offer excellent back support and add a dramatic focal point to your room, while the sturdy wooden bases ensure lasting strength and stability. Whether you're drawn to minimalist lines or rich textures, there's a design to match your unique taste.

Features:

Eye-catching upholstery in rich velvet and smooth leatherette

Stylish headboard designs: vertical panels, gold accents, and soft curves

Strong hardwood frames for long-term durability

Suitable for all bedroom themes: modern, contemporary, or classic

Custom sizing and color options available"
"5by6 White wooden bed","Bedroom - Beds","38000.00","9","The White Wooden Bed (5x6) is a beautifully crafted piece of furniture that combines elegance and comfort. Made from high-quality wood, this bed offers both durability and a timeless design that complements any bedroom decor The spacious queen size ensures ample sleeping space, making it ideal for couples or individuals who enjoy extra room. With its sturdy construction and aesthetically pleasing wooden finish, this bed not only enhances your sleeping experience but also adds a touch of sophistication to your room."
"6 Seater Dinning Table ","Dining Room - Six seater DIning Sets","58000.00","20","A wooden dining table is a strong, classic table made from solid wood like oak or pine. It usually has a smooth, flat top where people eat and strong legs to support it. The wood can be light or dark, showing natural patterns. It comes in different shapes like round or rectangular and fits 4 to 10 people. This type of table adds a warm, natural feel to any dining room.

"
"6 Seater Jungle Green Chester Bed","Living Room - Couches in set","68000.00","20","Elevate your space with our Chesterfield Seat – a luxurious blend of tradition and comfort. Handcrafted with precision, this statement piece features deep button tufting, gracefully rolled arms, and a solid hardwood frame. Upholstered in premium fabric or leather of your choice, it’s perfect for both modern and classic interiors. Ideal for your living room, office, or reception area.

Premium tufted design

High-density cushions for extra comfort

Durable wood frame and quality finishing

Available in a variety of colors and textures
"
"6 Seater Modular Bubble Seat Beige ","Living Room - Sectional Sofas","70000.00","20","Experience unmatched comfort and bold modern design with the Bubble  Sofa — a true masterpiece for contemporary living spaces. Designed with deep tufted cushioning and wrapped in plush, premium upholstery, this oversized sectional offers both elegance and relaxation in one stunning package.

Whether you're lounging solo or entertaining guests, its spacious layout and modular design allow for ultimate flexibility and luxurious comfort. Perfect for statement interiors and family-friendly living.

Features:

Ultra-soft, cloud-like deep tufted seating

Premium textured fabric upholstery

Modular design for customizable arrangements

Built for comfort, durability, and visual impact"
"6by6 Black Nior Diamond Bed With 2 Nightstand ","Bedroom - Headboards","78000.00","100","Elevate your bedroom with the unmatched elegance of the Nior Diamond Bed — where bold design meets timeless luxury. Crafted with precision, this bed features a stunning diamond-tufted headboard and footboard, accented with subtle gold trims that add a rich, modern flair. The geometric layout and plush upholstery not only enhance visual appeal but also provide supreme comfort and support.

Whether you're redesigning your master suite or furnishing a luxury space, the Luxe Diamond Panel Bed is the perfect centerpiece to make a bold, stylish statement.

Features:

Elegant diamond-tufted upholstery with gold accenting

High, padded headboard for added presence and comfort

Sturdy, durable frame construction

Perfect for contemporary and luxury interiors"
"6by6 Extended Bed","Bedroom - Headboards","60000.00","900","Upgrade your sleeping space with our exclusive range of upholstered beds, where comfort meets modern elegance. This collection features beautifully crafted pieces, including deep royal blue velvet beds for a bold, luxurious look and soft beige options accented with gold finishes for a touch of class.

Each bed is designed with attention to detail—high, padded headboards offer excellent back support and add a dramatic focal point to your room, while the sturdy wooden bases ensure lasting strength and stability. Whether you're drawn to minimalist lines or rich textures, there's a design to match your unique taste.

Features:

Eye-catching upholstery in rich velvet and smooth leatherette

Stylish headboard designs: vertical panels, gold accents, and soft curves

Strong hardwood frames for long-term durability

Suitable for all bedroom themes: modern, contemporary, or classic

Custom sizing and color options available
"
"6by6 Extended Bed With Golden Detailing ","Bedroom - Headboards","60000.00","100","Upgrade your sleeping space with our exclusive range of upholstered beds, where comfort meets modern elegance. This collection features beautifully crafted pieces, including deep royal blue velvet beds for a bold, luxurious look and soft beige options accented with gold finishes for a touch of class.

Each bed is designed with attention to detail—high, padded headboards offer excellent back support and add a dramatic focal point to your room, while the sturdy wooden bases ensure lasting strength and stability. Whether you're drawn to minimalist lines or rich textures, there's a design to match your unique taste.

Features:

Eye-catching upholstery in rich velvet and smooth leatherette

Stylish headboard designs: vertical panels, gold accents, and soft curves

Strong hardwood frames for long-term durability

Suitable for all bedroom themes: modern, contemporary, or classic

Custom sizing and color options available
"
"6by6 Grey Lines Vela","Bedroom - Beds","38000.00","9","Elevate your bedroom with the Light Gray Tufted Queen Bed, a perfect blend of modern style and comfort. This bed features a beautifully tufted headboard that adds a touch of sophistication to your space. The light gray upholstery is not only chic but also versatile, allowing it to complement various decor styles, from contemporary to classic. Constructed with high-quality materials, this queen bed ensures durability and stability for a restful night's sleep. The spacious queen size provides ample room for couples or individuals who enjoy extra space while sleeping
Whether you're redecorating your master bedroom or furnishing a guest room, the Light Gray Tufted Queen Bed is an excellent choice that combines functionality with aesthetic appeal. Create a cozy and inviting atmosphere in your bedroom with this stylish bed"
"6by6 Grey Noir Prestige Bed with 2 Night Stand","Bedroom - Headboards","78000.00","1000","Elevate your bedroom with the unmatched elegance of the Nior Diamond Bed — where bold design meets timeless luxury. Crafted with precision, this bed features a stunning diamond-tufted headboard and footboard, accented with subtle gold trims that add a rich, modern flair. The geometric layout and plush upholstery not only enhance visual appeal but also provide supreme comfort and support.

Whether you're redesigning your master suite or furnishing a luxury space, the Luxe Diamond Panel Bed is the perfect centerpiece to make a bold, stylish statement.

Features:

Elegant diamond-tufted upholstery with gold accenting

High, padded headboard for added presence and comfort

Sturdy, durable frame construction

Perfect for contemporary and luxury interiors
"
"6by6 Mirror Chester Bed White With 2 Nightstand ","Bedroom - Beds","68000.00","9","Upgrade your sleeping space with our exclusive range of upholstered beds, where comfort meets modern elegance. This collection features beautifully crafted pieces, including deep royal blue velvet beds for a bold, luxurious look and soft beige options accented with gold finishes for a touch of class.

Each bed is designed with attention to detail—high, padded headboards offer excellent back support and add a dramatic focal point to your room, while the sturdy wooden bases ensure lasting strength and stability. Whether you're drawn to minimalist lines or rich textures, there's a design to match your unique taste.

Features:

Eye-catching upholstery in rich velvet and smooth leatherette

Stylish headboard designs: vertical panels, gold accents, and soft curves

Strong hardwood frames for long-term durability

Suitable for all bedroom themes: modern, contemporary, or classic

Custom sizing and color options available
"
"6by6 Nior Diamond Bed With 2 Night Stand","Bedroom - Headboards","78000.00","100","Elevate your bedroom with the unmatched elegance of the Nior Diamond Bed — where bold design meets timeless luxury. Crafted with precision, this bed features a stunning diamond-tufted headboard and footboard, accented with subtle gold trims that add a rich, modern flair. The geometric layout and plush upholstery not only enhance visual appeal but also provide supreme comfort and support.

Whether you're redesigning your master suite or furnishing a luxury space, the Luxe Diamond Panel Bed is the perfect centerpiece to make a bold, stylish statement.

Features:

Elegant diamond-tufted upholstery with gold accenting

High, padded headboard for added presence and comfort

Sturdy, durable frame construction

Perfect for contemporary and luxury interiors
"
"6by6 Orange Classic Bed","Bedroom - Beds","42000.00","9","Upgrade your sleeping space with our exclusive range of upholstered beds, where comfort meets modern elegance. This collection features beautifully crafted pieces, including deep royal blue velvet beds for a bold, luxurious look and soft beige options accented with gold finishes for a touch of class.

Each bed is designed with attention to detail—high, padded headboards offer excellent back support and add a dramatic focal point to your room, while the sturdy wooden bases ensure lasting strength and stability. Whether you're drawn to minimalist lines or rich textures, there's a design to match your unique taste.

Features:

Eye-catching upholstery in rich velvet and smooth leatherette

Stylish headboard designs: vertical panels, gold accents, and soft curves

Strong hardwood frames for long-term durability

Suitable for all bedroom themes: modern, contemporary, or classic

Custom sizing and color options available
"
"6by6 Pink Noir Diamond Bed with 2 Night Stand","Bedroom - Headboards","78000.00","100","Make a bold statement of elegance and sophistication with the Noir Diamond Bed, exclusively crafted for those who appreciate luxury with an edge. Draped in pink upholstery, this bed features signature diamond-tufted detailing accented with striking golden strips, bringing a regal charm to any bedroom.

The wide, padded headboard includes integrated side panels with built-in lighting accents, adding a warm, ambient glow that enhances your nighttime retreat. Its solid construction ensures durability, while the deep tones and premium textures make it a perfect centerpiece for modern or upscale interiors.

Features:

Premium pink velvet finish with golden detailing

Elegant tufted headboard with integrated lighting features

Strong and supportive hardwood frame

Perfect for master suites and stylish interiors."
"6by6 Survoy Button Nevy Blue","Bedroom - Beds","42000.00","9","Upgrade your bedroom with this elegant Savoy Button  bed, designed for both comfort and sophistication. Crafted with a high headboard and a low-profile footboard, this bed features deep diamond-tufted detailing and a plush velvet finish that exudes luxury. The sturdy wooden frame ensures durability, while the chic silver stud accents add a modern touch.

Key Features:

Size: King

Material: High-quality velvet fabric

Color: Charcoal grey

Design: Deep button tufting with silver nailhead trim

Frame: Durable wood construction for long-lasting support

Perfect for modern and classic interiors, this bed is a stylish centerpiece that transforms any bedroom into a luxurious retreat."
"6by6 White Leather With Mirror Detailing & 2 Nightstand ","Bedroom - Beds","72000.00","9","Introducing the Queen Bed with Extended Headboard and Mirror Detailing, a stunning addition to any contemporary bedroom. This exquisite bed showcases a beautifully upholstered extended headboard that not only provides extra comfort and support but also features striking mirror accents that reflect light and create an illusion of space. Crafted with high-quality materials, this queen bed combines durability with style, making it a perfect centerpiece for your bedroom decor. The mirror detailing adds a sophisticated touch, enhancing the overall aesthetic and bringing a sense of luxury to your space. Whether you're looking to create a serene retreat or a stylish haven, this bed is designed to elevate your sleeping experience and complement various interior styles.
Indulge in the perfect blend of comfort and elegance with the Queen Bed with Extended Headboard and Mirror Detailing, and make your bedroom a true sanctuary."
"7 Pair Shoe Rack","Storage - Shoe Racks","14000.00","10","Totally, seven open shelves provide ample storage space for shoes in an organized way to make shoes clear at a glance. Functions as a shoe rack to provide storage space for shoes, boots, high heels, and sneakers. Performing well as a storage shelf or display rack to hold daily items, such as CDs, books, photo albums, plants, towels, small appliances, and more."
"7 Seater Charcoal Grey Semi Recliner ","Living Room - Semi Recliners","100000.00","20","A seven-seater recliner is a spacious and luxurious seating arrangement designed for maximum comfort and functionality. It typically includes:

Three recliner seats (manual or electric) that allow users to lean back and elevate their feet.

Upholstery made of plush fabric, faux leather, or genuine leather for a soft and stylish finish.

Ample seating space for seven people, arranged in an L-shape or U-shape to suit living room layouts.

Padded armrests and backrests for enhanced comfort.
"
